text,label
2dənə,2 dənə
gəzməyə,gəzməyə
xəstəni,xəstəni
təlimat,təlimat
oynayardı,oynayardı
canda,canda
UÇOTU,uçotu
Rüsum,rüsum
mehriban,mehriban
senedlerim,sənədlərim
xasiyyətini,xasiyyətini
sənədlərinizi,sənədlərinizi
cixdi,çıxdı
sesime,səsimə
geridən,geridən
çevirərlər,çevirərlər
Hansına,hansına
sorucmadim,soruşmadım
rastima,rastıma
arıq-cılızlığımı,arıq-cılızlığımı
hönkür-hönkür,hönkür-hönkür
bölüşsəm,bölüşsəm
Demiryolda,dəmiryolda
Elnen,Elşən
xəbərsizdi,xəbərsizdir
umidlerdi,ümidlərdir
sualının,sualının
6deqiqem,6 dəqiqəm
uyğunluğu,uyğunluğu
zonasından,zonasından
suallı,suallı
vereqesinde,vərəqəsində
axtardığım,axtardığım
iwiqlandiran,işıqlandıran
Sabahki,sabahkı
verəcəyini,verəcəyini
İstisnaslz,istisnasız
iraq,iraq
sevirdik,sevirdik
ayi,ayı
səviyyə,səviyyə
Mawinsiz,maşınsız
Salyandan,salyandan
goruşeceydim,görüşəcəkdim
yazacaqsınız,yazacaqsınız
tipleri,tipləri
Bilirə,bilirəm
qrupudue,qrupudur
taksiyə,taksiyə
içən,içən
əsasda,əsasda
nomremi,nömrəmi
arda,arada
eşitsin,eşitsin
hazırlaşmadım,hazırlaşmadım
nəşir,nəşr
qeliz,qəliz
Özgüvənsiz,özgüvənsiz
hereketdi,hərəkətdi
açmışam,açmışam
vizası,vizası
olmasaaa,olmasa
Nəcməddin,Nəcməddin
gormemek,görməmək
çixsin,çıxsın
Mesajın,mesajın
kağızların,kağızların
tapsiriq,tapşırıq
yarımçıq,yarımçıq
kitabçaya,kitabçaya
Qəbələdə,Qəbələdə
birinizin,birinizin
duseceydim,düşəcəkdim
cop,çöp
aslanov,Aslanov
avtomagstrial,avtomagistral
Təbrik,təbrik
Proseslərin,proseslərin
yasayiram,yaşayıram
hazırlaşmış,hazırlaşmış
kifayətlənən,kifayətlənən
Firmamız,firmamız
buraxılışda,buraxılışda
qurbanıyam,qurbanıyam
Çoxhədlilər,çox hədlilər
götürmüşdülər,götürmüşdülər
qalmırlar,qalmırlar
keçmiş,keçmiş
baxırdım,baxırdım
paylaşılıbmı,paylaşılıbmı
edəndən,edəndən
baxun,baxın
krçirmirlər,keçirmirlər
döyüş,döyüş
FENER,fənər
xristian,xristian
mindene,min dənə
gele,gələ
xaricinde,xaricində
kecirik,keçirik
çıxmayan,çıxmayan
Hansi,hansı
görüşümüz,görüşümüz
NƏDİRSƏ,nədirsə
Cari,cari
seviye,səviyyə
hazirki,hazırki
Bizim,bizim
etmiyenler,etmiyənlər
tökülür,tökülür
cavablandırar,cavablandırar
Medeniyetimizi,mədəniyyətimizi
əyasızcasına,həyasızcasına
inancsız,inancsız
tekerden,təkərdən
olmusham,olmuşam
əməyinizə,əməyinizə
səhfllərdən,səhifələrdən
vurursan,vurursan
çıxmamışdan,çıxmamışdan
dəxli,dəxli
bölmələrinin,bölmələrinin
hazirlasirsan,hazırlaşırsan
AZMIU,AZMIU
agzima,ağzıma
birisindən,birisindən
Evezine,əvəzinə
düşünməmək,düşünməmək
nisandirsa,nişandırsa
Neçyə,neçiyə
ehtiyat,ehtiyat
Səsə,səsə
vərəqəsini,vərəqəsini
paylaşaq,paylaşaq
zolağınnan,zolağından
MATERİALLARI,materialları
Birində,birində
dələduzluqun,dələduzluğun
dusmesi,düşməsi
Sevgiliniz,sevgiliniz
fənni,fənni
qardaşımsan,qardaşımsan
bölməsində,bölməsində
baxmıram,baxmıram
qalibdi,qalibdir
yadimda,yadımda
besdi,bəsdir
Bidə,birdə
düşdükdə,düşdükdə
vermisdi,vermişdi
Tarixden,tarixdən
qruplarıda,qrupları da
bildirecek,bildirəcək
sərt,sərt
Selyandandi,Səlyandandır
iline,ilinə
təpik,təpik
fakültəsinə,fakültəsinə
fonmek,dönmək
inwAllah,inwAllah
usagimin,uşağımın
şansını,şansını
olmadığı,olmadığı
qorxuramki,qorxuram ki
Dövlet,dövlət
Sekille,şəkillə
yaddaşımızı,yaddaşımızı
isdirak,iştirak
çoxsu,çoxu
Oxnan,oxla
sfetofor,svetofor
Fəxrəddin,Fəxrəddin
fikirimi,fikirimi
ıse,işə
Burda,burada
sagiva,sağına
kiyməti,qiyməti
Elşad,Elşad
alacağam,alacağam
Bakirəliyimi,bakirəliyimi
wahid,şahid
lazimdır,lazımdır
köçürmələr,köçürmələr
isteyene,istəyənə
deqiqleshdire,dəqiqləşdirə
memmedov,Məmmədov
Ingilis,ingilis
paylaw,paylaş
Sag,sağ
Olanı,olanı
maraqlanıram,maraqlanıram
adınıza,adınıza
desem,desəm
qarnım,qarnım
siyahıdan,siyahıdan
xanımı,xanımı
vermiyəm,verməyən
Sizədə,sizə də
hazırlaya,hazırlaya
Sevib,sevib
içməyimi,içməyimi
cavabdehəm,cavabdehəm
yetərli,yetərli
hazırlaşırdim,hazırlaşırdım
Ismi,ismi
düşsəm,düşsəm
parlaq,parlaq
gedibse,gedibse
adlandırırlar,adlandırırlar
Paylaşılmayıb,paylaşılmayıb
Çölə,çölə
sədri,sədri
zonaları,zonaları
Tesdə,testə
ərzə,ərizə
ərizəylə,ərizəylə
yandığını,yandığını
Utandığımnan,utandığımdan
hissəni,hissəni
demirem,demirəm
texmini,təxmini
isdeyirik,istəyirik
qalıbsa,qalıbsa
qadanğan,qadağan
zaqatala,Zaqatala
gorenlerden,görənlərdən
ve,və
qiymətidi,qiymətidir
apreldə,apreldə
düşmdü,düşdüm
davranış,davranış
Deyerli,dəyərli
Vacibdir,vacibdir
işş,iş
sevgilme,sevgilimə
gəlməsi,gəlməsi
Məsləhətdirmi,məsləhətdirmi
pdf-sı,pdf-sı
surprizi,surprizi
Yoldadi,yoldadır
qiran,qıran
sehifeler,səhifələr
Isdismar,istismar
yem,yem
pərt,pərt
ucbucaqdaki,üçbucaqdakı
eləsinə,eləsinə
mətinlərinin,mətnlərinin
olare,olar
sizle,sizlə
həə,hə
izahın,izahın
isimle,isimlə
aparmağı,aparmağı
dalınca,dalınca
unuttum,unutdum
Dua,dua
plan,plan
çoxdu,çoxdur
bilmirisz,bilmirsiz
Dilənov,Dilənov
munasibetin,münasibətin
qismetdide,qismətdir də
zülm,zülm
sixdinsa,sıxdınsa
soyuw,söyüş
kompdan,kompüterdən
exlaqimi,əxlaqımı
rengde,rəngdə
Birincilər,birincilər
saytlarında,saytlarında
mobed,moped
nezeriyyesinde,nəzəriyyəsində
demədiniz,demədiniz
görün,görün
neyə,nəyə
Nanəli,nanəli
Hım,həm
danişdim,danışdım
Velosibetlərədə,velosipedlərə də
olmalı,olmalı
depazite,depazitə
cinayetlerde,cinayətlərdə
hemd,həmd
yarını,yarını
ozah,izah
götürülməlidi,götürülməlidir
bayax,bayaq
Deyirdi,deyirdi
qaldıra,qaldıra
kasıblayır,kasıblayır
münasibətini,münasibətini
ziyarət,ziyarət
olannan,olandan
aydindir,aydındır
temalar,temalar
alınmaz,alınmaz
Bəsdirin,bəsdirin
yawadek,yaşadək
inamı,inamı
sonuncudan,sonuncudan
ayridir,ayrıdır
İqtisad,iqtisad
oyrenmemisem,öyrənməmişəm
balliq,ballıq
müzakiresi,müzakirəsi
əxlaqından,əxlaqından
taxi,taksi
arsız,arsız
tüklərdə,tüklərdə
saxlayacaq,saxlayacaq
İstəyə,istəyə
bildirib,bildirib
tapşırıqların,tapşırıqların
veriləcək,veriləcək
isdemir,işləmir
yatib,yatıb
Bilik,bilik
ovlad,övlad
bacarığın,bacarığın
saxlayacam,saxlayacam
qrupu,qrupu
yarimçiq,yarımçıq
öyreden,öyrədən
2011-di,2011-ci
edecem,edəcəm
sükan,sükan
tupurur,tüpürür
sırf,sırf
qalib,qalib
isdeyi,istəyi
dəyişilir,dəyişilir
bayıra,bayıra
əmimoğlunu,əmim oğlunu
yazsln,yazılsın
teskil,təşkil
olimpiadadan,olimpiadadan
Çoxxxxx,çox
nələrisə,nələrisə
etmişem,etmişəm
xahw,xahiş
ərinə,ərinə
xezineden,xəzinədən
Komissiya,komissiya
yanirdi,yanırdı
şexsiden,şəxsidən
bilmədiyim,bilmədiyim
Cavb,cavab
insani,insani
müsabiqələrində,müsabiqələrində
bildirim,bildirim
informatikaya,informatikaya
Eləmə,eləmə
etdiklərinə,etdiklərinə
Coğrafiya-,coğrafiya
olandır,olandır
dəmiryolun,dəmiryolunun
dayanmasi,dayanması
Statiska,statiska
baci,bacı
yaxşıdi,yaxşıdı
Ozunden,özündən
tutulmuşdursa,tutulmuşdursa
sürüş,sürüş
Subay,subay
mətnin,mətnin
canına,canına
atam,posta
heqiqeten,həqiqətən
deyil,deyil
Qanununda,qanununda
gunel,Günel
hərif,hərif
Imtahanin,imtahanın
Sagol,sağol
şikayətlər,şikayətlər
marağlananlar,marağlananlar
planda,planda
məktubuzu,məktubunuzu
kecerler,keçərlər
bezdirmisiz,bezdirmisiniz
Mal,mal
bashini,başını
edirsinizsə,edirsinizsə
Zərərçəkənlər,zərərçəkənlər
andan,andan
temiz,təmiz
Fatima,Fatimə
təqaüdlərdən,təqaüdlərdən
kəsmədim,kəsmədim
əzdirirsiniz,əzdirirsiniz
11əm,11 əm
Maşınların,maşınların
anladımmm,anladım
bunker,bunker
yerləri,yerləri
suleymana,Süleymana
deyərdiniz,deyərdiniz
ayındakı,ayındakı
paylaşmısan,paylaşmısan
İşlərinə,işlərinə
ilişmirler,ilişmirlər
nəzəriyyədə,nəzəriyyədə
bölümüdür,bölümüdür
təmizləyin,təmizləyin
aparilmani,aparılmanı
mərtəbəyə,mərtəbəyə
həvəssizlik,həvəssizlik
işlənmişi,işlənmişi
Xarakterim,xarakterim
yardıma,yardıma
səbəbkardısa,səbəbkardısa
grtmirsə,getmirsə
müəllimləri,müəllimləri
yiyələnmək,yiyələnmək
vermirik,vermirik
apararq,apararıq
bakinin,Bakının
hazırlaşanlara,hazırlaşanlara
müəlliminiz,müəlliminiz
Mektebliler,məktəblilər
konspektleri,konspektleri
çalışırdılar,çalışırdılar
gör,gör
iştrak,iştirak
fikirin,fikirin
ozguvensiz,özgüvənsiz
pulumla,pulumla
deməmişdi,deməmişdi
vesaitler,vəsaitler
sıraya,sıraya
verilməyi,verilməyi
ağlınnan,ağlınnan
vəsiqənizi,vəsiqənizi
pdfnin,pdf-nin
toru,toru
Muellimin,müəllimin
paylaşmışdım,paylaşmışdım
öldermək,öldürmək
hərf,hərf
şagirdi,şagirdi
çıxarırlar,çıxarırlar
Alisa,Alisa
gercekleşdiyi,gərçəkləşdiyi
Yazdığımı,yazdığımı
verir,verir
TESİR,təsir
oyanmışdı,oyanmışdı
alanniz,alanınız
Ozun,özün
migdarinda,miqdarında
Dogrudan,doğrudan
çixmaqa,çıxmağa
ümümiyyətlə,ümumiyyətlə
-2020,2020
deyərdə,deyərdə
otağımda,otağımda
metnlerin,mətnlərin
Vuqar,Vüqar
elastik,elastik
düşmedim,düşmədim
yandirdim,yandırdım
Bəzən,bəzən
atmalı,atmalı
sevişmə,sevişmə
ediem,edirəm
bəyənmədim,bəyənmədim
devam,davam
satdiz,satdınız
dəyişdirə,dəyişdirə
duwecek,düşəcək
bütövlüyünün,bütövlüyünün
denen,de
etdide,etdi də
kütlələ,kütlələr
bilmiyəcəm,bilmiyəcəm
sifahi,şifahi
mindirmək,mindirmək
edilərkən,edilərkən
Yolayırıclarda,yolayrıcılarda
görməmişliyidiki,görməmişliyidir ki
Neter,nətər
Vezife,Vəzifə
paylaşılsın,paylaşılsın
lazımdlr,lazımdır
gedecem,gedəcəyəm
Texnikomdan,texnikomdan
Hazırdır,hazırdır
Picasso,Picasso
komey,kömək
Özümə,özümə
Yeni,yeni
amillər,amillər
bəyənməz,bəyənməz
yanaşman,yanaşman
gedib-gələ,gedib-gələ
bashimi,başımı
verilməzdi,verilməzdir
Eyyubovun,Eyyubovun
ünvandan,ünvandan
hadjiyeva,Hacıyeva
bildik,bildik
sinif-2,sinif
anlig,anlıq
seçimləri,seçimləri
sürücünü,sürücünü
yoxlayanda,yoxlayanda
baldi,baldı
baxan,baxan
götürər,götürər
qaydasınl,qaydasını
5qurupda,5 qrupda
psixologiyamızdı,psixologiyamızdır
dedilerse,dedilərsə
ürəyini,ürəyini
cıxan,çıxan
Qəhrəmanov,Qəhrəmanov
variyantlar,variantlar
coğrafiyası,coğrafiyası
Bitib,bitib
deməmiş,deməmiş
Kitabinin,kitabının
klubdan,klubdan
çıxsada,çıxsa da
minikdirsə,minikdirsə
7-dən,7-dən
xərcləməsəm,xərcləməsəm
ataa,atsa
Bugunden,bugündən
edərlər,edərlər
dongeni,döngəni
Çoz,çox
işçinin,işçinin
Yuxuda,yuxuda
bayraqciqdi,bayraqcıqdır
Çay,çay
Nesə,nəsə
qonaqdan,qonaqdan
həmvətənlərim,həmvətənlərim
yaratmayın,yaratmayın
Paylaşılır,paylaşılır
canvı,canını
praqramlar,proqramlar
çağırılmış,çağırılmış
cavablandırardiniz,cavablandırardınız
kuzası,kuzası
Prezidenti,prezidenti
atarsız,atarsınız
yazsınlar,yazsınlar
xanımdı,xanımdır
tutarağ,tutaraq
uwaqlarda,uşaqlarda
tipində,tipində
kifayet,kifayət
civarı,civarı
illərinin,illərinin
ciddilesdirek,ciddiləşdirək
axırdan,axırdan
2023den,2023-dən
imtn,imtahan
paradoksu,paradoksu
əziyətdən,əziyətdən
duwecekmi,düşəcəkmi
maaw,maaş
Ayn,ayın
yardımınız,yardımınız
baslamayib,başlamayıb
işlədilməyib,işlədilməyib
məsələdə,məsələdə
verəcəy,verəcək
illərdə,illərdə
Paylaşaraq,paylaşaraq
hazırlanır,hazırlanır
bilsəydik,bilsəydik
Kanaıda,kanalda
Dəstək,dəstək
duracagina,duracağına
atdıq,atdıq
hissesinde,hissəsində
dəyərinde,dəyərində
veribsə,veribsə
yazilidi,yazılı dı
İZƏ-nin,İZƏ-nin
goresen,görəsən
rıyazıyyat,riyaziyyat
çəkəndə,çəkəndə
riyyaziyyatdan,riyyaziyyatdan
Dəyəri,dəyəri
verilibse,verilibsə
qadınlarda,qadınlarda
azadolmaya,azadolmaya
Güc,güc
hesabımla,hesabımla
Riyaziyyatda,riyaziyyatda
AZMİU,AZMİU
tapmırsan,tapmırsan
suallardan,suallardan
dəyişdirəcək,dəyişdirəcək
Alkoqollu,alkoqollu
Limit,limit
bayramı,bayramı
lazimdiki,lazımdır ki
isyevin,İsayevin
1hisse,1 hissə
atardi,atardı
xeberdarli,xəbərdardır
cəhdindən,cəhdindən
yoxduki,yoxdur ki
olmure,olmur
jurnaldaki,jurnaldaki
cavablari,cavabları
özgüvənimi,özgüvənimi
firlanır,fırlanır
vəli,Vəli
Həə,hə
çatdırırsınız,çatdırırsınız
xərc,xərc
bilinsin,bilinsin
direwib,dirəşib
anlamayın,anlamayın
Haralisan,haralısan
yatmırdım,yatmırdım
bəzisi,bəzisi
hissindən,hissindən
Login,login
danışdığını,danışdığını
imtaha,imtahan
defe,dəfə
kitabinda,kitabın da
problemidi,problemidir
fikirlərinizə,fikirlərinizə
rasxodu,rasxodu
döndüyünə,döndüyünə
diyanmag,dayanmaq
Xeyrli,xeyirli
nəzəriyyədən,nəzəriyyədən
metnleri,mətnləri
sinifdən,sinifdən
mənşəli,mənşəli
bulvarda,bulvarda
ekabinet,e-kabinet
Unutmayın,unutmayın
Təbiki,təbi ki
öyrene,öyrənə
orbitlərindən,orbitlərindən
dayanim,dayanım
yardımcı,yardımcı
MILLETI,milləti
Adını,Adını
konusunda,konusunda
Növbəti,növbəti
Hacızadə,Hacızadə
cixmasaydi,çıxmasaydı
baxardım,baxardım
əminsizsə,əminsinizsə
müraciətinə,müraciətinə
qardaşimi,qardaşımı
memnun,məmnun
birdən,birdən
sizler,sizlər
dehset,dəhşət
çıxıntılı,çıxıntılı
deyilseko,deyilsə ki
Təsərrüfatı,təsərrüfatı
müxtəliflik,müxtəliflik
demisdik,demişdik
gordumm,gördüm
düşünmək,düşünmək
qanunvericiliklerin,qanunvericiliklərin
Verə,verə
tezesi,təzəsi
lazimdı,lazımdır
sözüm,sözüm
narahatçılığı,narahatçılığı
Almayın,almayın
sinaglar,sinaqlar
Zəhmet,zəhmət
məaləhətli,məaləhətli
hazırlanmışdır,hazırlanmışdır
keçməliyik,keçməliyik
aralıqlarda,aralıqlarda
normaldır,normaldır
gosteribler,göstəriblər
direktorların,direktorların
keçıd,keçid
tələbəsi,tələbəsi
Habil,Habil
audioları,audioları
MƏNTİQ,məntiq
binasından,binasından
Altına,altına
sebeke,şəbəkə
əmiləri,əmiləri
tikdirib,tikdirib
hissesinin,hissəsinin
dayanmag,dayanmaq
Məcəlləni,məcəlləni
konul,könül
ibaret,ibarət
edərdi,edərdi
çoxxx,çox
Birinin,birinin
Təklifm,təklifim
boğuluyorum,boğuluyorum
Köhne,köhnə
Texnikoma,texnikuma
Hell,həll
SalamAleykum,salam Əleyküm
baxıllar,baxırlar
kisəsi,kisəsi
Qısaca,qısaca
şifrələnir,şifrələnir
suallarina,suallarına
eləmişik,eləmişik
oxşamışam,oxşamışam
Atmisiz,atmısız
sehvetimi,səhvətimi
kədər,kədər
təzə,təzə
əlbəttə,əlbəttə
Testin,testin
aparıcı,aparıcı
çapı,çapı
sirketinin,şirkətinin
qatmalı,qatmalı
Mecburam,məcburam
Heç,heç
xoşladığım,xoşladığım
yuxular,yuxular
həm,həm
olcaq,olacaq
dünyasıdır,dünyasıdır
qardaşıdı,qardaşıdır
gülən,gülən
Pedaqoji,pedaqoji
cavablarnı,cavablarını
yaxwisi,yaxşısı
danışmaye,danışma
təyin,təyin
almagi,almağı
coxalir,çoxalır
sertifikatlı,sertifikatlı
pdflər,pdf-lər
nişandır,nişandır
oynayir,oynayır
qarışır,qarışır
Xoşum,xoşum
sizlərə,sizlərə
doğurdan,doğurdan
elece,eləcə
Sonsuz,sonsuz
batmagina,batmağına
salınıb,salınıb
beyenirem,bəyənirəm
mərhələ,mərhələ
mənaslnda,mənasında
resepti,resepti
Nebilim,nəbilim
Səni,səni
qazanmışam,qazanmışam
Xızı,Xızı
pullarini,pullarını
kütlələ,kütlələr
Adminimiz,adminimiz
tunelde,tuneldə
olmaqi,olmağı
çəkici,çəkici
NİYE,niyə
Hansından,hansından
üzünüdə,üzünü də
bozun,bozun
saxlayırdılar,saxlayırdılar
esebleşme,əsəbləşmə
Yığışaq,yığışaq
müəllifidir,müəllifidir
müalicəsini,müalicəsini
Hem,həm
asin,asın
yerine,yerinə
Ford,Ford
əlaqəsi,əlaqəsi
eynisini,eynisini
adminem,adminəm
kimsənin,kimsənin
danlayirki,danlayır ki
intiharı,intiharı
etməlidirlər,etməlidirlər
yashiyiram,yaşayıram
içindədir,içindədir
baslayanda,başlayanda
ətrafımız,ətrafımız
vermemisem,verməmişəm
qoşulanlar,qoşulanlar
Digerleri,digərləri
gulub,gülüb
engellemesi,əngəlləməsi
maaşı,maaşı
kəsilirsən,kəsilirsən
artar,artar
bağlayirsiz,bağlayırsınız
verecekdin,verəcəkdin
lazimdir,lazımdır
Hekimler,həkimlər
keçməsə,keçməsə
Leyli,Leyli
veirirsiz,verirsiniz
Onsuzda,onsuz da
hecyana,heç yana
Nişanladığım,nişanladığım
fizikadan,fizikadan
sualıvızı,sualıvızı
normani,normanı
Tural,Tural
oluna,oluna
Pullu,pullu
gedesi,gedəsi
mesajlarda,mesajlar da
Bayram,Bayram
yaddaş,yaddaş
sualıma,sualıma
islemiyende,işləməyəndə
yazmayın,yazmayın
mağazadan,mağazadan
yukluyurdum,yüklüyürdüm
adamlarnan,adamlarla
modal,modal
velosiped,velosiped
şexsiden,şəxsidən
tapım,tapım
tapşiriqlari,tapşırıqları
Mehdiyevə,Mehdiyevə
duzelde,düzəldə
oyatsın,oyatsın
qəlir,gəlir
Toplularin,topluların
sarıda,sarıda
vəz,vəz
əladır,əladır
sevinərik,sevinərik
Bankin,bankın
yataq,yataq
Quliyev,Quliyev
Millət,millət
Cetindiki,çətindir ki
şeydirki,şeydir ki
eletdirmishdim,elətdirmişdim
zərərə,zərərə
duzeldecek,düzəldəcək
anamsan,anamsan
teze,təzə
İş,iş
utanib,utanıb
baslayb,başlayıb
dasina,daşına
səviyyəsində,səviyyəsində
bilmiremse,bilmirəmsə
atdimda,atdımda
Qiymet,qiymət
səhiyyə,səhiyyə
Cabab,cavab
Atiram,atıram
Meslehetleriniz,məsləhətləriniz
Oyreneceksiz,öyrənəcəksiniz
Buraxilişin,buraxılışın
baxıdm,baxdım
keçildiyi,keçirdiyi
Sizlərdən,sizlərdən
yaxsisi,yaxşısı
vermeyibsiz,verməyibsiniz
xaiw,xaiş
içmirəm,içmirəm
danishirdilar,danışırdılar
zatən,zatən
duwmedim,düşmədim
bildiriş,bildiriş
idaresinin,idarəsinin
bilməzlər,bilməzlər
nadir,nadir
nəzər,nəzər
Güvəndir,güvəndir
mesajını,mesajını
sistemde,sistemdə
qeribə,qəribə
Yazıb,yazıb
edeceksiniz,edəcəksiniz
Baxanı,baxanı
tanımırıq,tanımırıq
metodla,metodla
basga,başqa
deyişse,dəyişsə
sənəd,sənəd
verseydik,versəydik
seyi,şeyi
qalmayib,qalmayıb
Bayaqda,bayaq da
Çünkü,çünki
daniwin,danışın
isleyirrmki,işləyirəm ki
Lale,Lalə
gətirmisiz,gətirmisiz
qüvəddən,qüvvədən
Holland,Holland
yoluvuza,yolunuza
sonraa,sonra
Auditoriyadan,auditoriyadan
şəklin,şəklin
Rəy,rəy
kimede,kimə də
Allahıyla,Allahıyla
verilmedi,verilmədi
kecici,keçici
rahatlaya,rahatlaya
oglana,oğlana
fondu,fondu
movcuddur,mövcuddur
böyükdür,böyükdür
dəyməsən,dəyməsən
kəsdirim,kəsdirim
Gülya,Gülya
Googledan,Google-dan
yatmadım,yatmadım
özələ,özələ
satıcıdan,satıcıdan
əksəriyyətinin,əksəriyyətinin
2007-ci,2007-ci
kitabınnan,kitabından
ondadır,ondadır
tərifləyin,tərifləyin
yolundakı,yolundakı
oyadır,oyadır
Düznə,düzünə
inanma,inanma
kitabçalar,kitabçalar
Yoc,yox
sizdəki,sizdəki
İşimdə,işimdə
keçirərək,keçirərək
deyilmişdi,deyilmişdi
sigortaya,sığortaya
bilmeliyem,bilməliyəm
bilırsiniz,bilirsiniz
litr,litr
Problemi,problemi
Arzum,arzum
calisin,çalışın
Axwamlar,axşamlar
deyişer,dəyişər
artix,artıq
aldi,aldı
Kadrlara,kadrlara
Özümüzü,özümüzü
imtahandir,imtahandır
mövqe,mövqe
Allah,Allah
birinizə,birinizə
Imtahandan,imtahandan
olanlar,olanlar
axşamın,axşamın
eserdi,əsərdir
bextinizden,bəxtinizdən
deyirlərmiş,deyirlərmiş
Qəribə,qəribə
vəsiqəsinin,vəsiqəsinin
13-14,13-14
kompy,kompüter
bənd,bənd
deyildimi,deyildi mi
yonlendirinde,yönləndirində
1gune,1 günə
xəbərsiz,xəbərsiz
kimya,kimya
iwlerde,işlərdə
Rustemovun,Rüstəmovun
getirmek,gətirmək
zarafatı,zarafatı
yükün,yükün
odeniwli,ödənişli
Qiymətin,qiymətin
mesajin,mesajın
Səhvsizdə,səhvsiz də
uşagim,uşağım
hallarina,hallarına
gələcəyin,gələcəyin
xəbərsizcə,xəbərsizcə
suz,siz
ortadı,ortadır
Kohne,köhnə
pravalari,pravaları
köməkliyi,köməkliyi
İmtahan,imtahan
leyaqetsiz,ləyaqətsiz
sevənlərin,sevənlərin
yoxlayıram,yoxlayıram
Kecibse,keçibsə
ərazidə,ərazidə
Gönderildi,göndərildi
çıxıram,çıxıram
mawinin,maşının
qerarlasdirdiqim,qərarlaşdırdığım
deqq,dəqiq
Abituriyentlərə,abituriyentlərə
bitirdi,bitirdi
İstesemde,istəsəm də
ilkine,İlkinə
kişisən,kişisən
Heçneee,heçnə
qurucuları,qurucuları
tanışa,tanışa
Magistr,maqistr
Xahw,xahiş
mumkundur,mümkündür
acıqlamışam,acıqlamışam
çağırışlarına,çağırışlarına
formatına,formatına
aparılırması,aparılması
metnlerini,mətnlərini
Qərb,qərb
guvənin,güvənin
təsirə,təsirə
3olare,3 olar
aiddur,aiddir
SAVALAN,Savalan
deyilənə,deyilənə
görürsən,görürsən
